gene_id,gene_symbol,gene_name,chromosome,function,protein
GENE0313,GENE0313,GENE0313 Associated Gene,5,Tumor Suppression,GENE0313 Protein
GENE0314,GENE0314,GENE0314 Associated Gene,6,Immune Regulation,GENE0314 Protein
GENE0315,GENE0315,GENE0315 Associated Gene,7,Protein Synthesis,GENE0315 Protein
GENE0316,GENE0316,GENE0316 Associated Gene,8,Metabolism,GENE0316 Protein
GENE0317,GENE0317,GENE0317 Associated Gene,9,Signal Transduction,GENE0317 Protein
GENE0318,GENE0318,GENE0318 Associated Gene,10,Apoptosis,GENE0318 Protein
GENE0319,GENE0319,GENE0319 Associated Gene,11,Cell Cycle Control,GENE0319 Protein
GENE0320,GENE0320,GENE0320 Associated Gene,12,Gene Expression,GENE0320 Protein
GENE0321,GENE0321,GENE0321 Associated Gene,13,DNA Repair,GENE0321 Protein
GENE0322,GENE0322,GENE0322 Associated Gene,14,Cell Signaling,GENE0322 Protein
GENE0323,GENE0323,GENE0323 Associated Gene,15,Tumor Suppression,GENE0323 Protein
GENE0324,GENE0324,GENE0324 Associated Gene,16,Immune Regulation,GENE0324 Protein
GENE0325,GENE0325,GENE0325 Associated Gene,17,Protein Synthesis,GENE0325 Protein
GENE0326,GENE0326,GENE0326 Associated Gene,18,Metabolism,GENE0326 Protein
GENE0327,GENE0327,GENE0327 Associated Gene,19,Signal Transduction,GENE0327 Protein
GENE0328,GENE0328,GENE0328 Associated Gene,20,Apoptosis,GENE0328 Protein
GENE0329,GENE0329,GENE0329 Associated Gene,21,Cell Cycle Control,GENE0329 Protein
GENE0330,GENE0330,GENE0330 Associated Gene,22,Gene Expression,GENE0330 Protein
GENE0331,GENE0331,GENE0331 Associated Gene,1,DNA Repair,GENE0331 Protein
GENE0332,GENE0332,GENE0332 Associated Gene,2,Cell Signaling,GENE0332 Protein
GENE0333,GENE0333,GENE0333 Associated Gene,3,Tumor Suppression,GENE0333 Protein
GENE0334,GENE0334,GENE0334 Associated Gene,4,Immune Regulation,GENE0334 Protein
GENE0335,GENE0335,GENE0335 Associated Gene,5,Protein Synthesis,GENE0335 Protein
GENE0336,GENE0336,GENE0336 Associated Gene,6,Metabolism,GENE0336 Protein
GENE0337,GENE0337,GENE0337 Associated Gene,7,Signal Transduction,GENE0337 Protein
GENE0338,GENE0338,GENE0338 Associated Gene,8,Apoptosis,GENE0338 Protein
GENE0339,GENE0339,GENE0339 Associated Gene,9,Cell Cycle Control,GENE0339 Protein
GENE0340,GENE0340,GENE0340 Associated Gene,10,Gene Expression,GENE0340 Protein
GENE0341,GENE0341,GENE0341 Associated Gene,11,DNA Repair,GENE0341 Protein
GENE0342,GENE0342,GENE0342 Associated Gene,12,Cell Signaling,GENE0342 Protein
GENE0343,GENE0343,GENE0343 Associated Gene,13,Tumor Suppression,GENE0343 Protein
GENE0344,GENE0344,GENE0344 Associated Gene,14,Immune Regulation,GENE0344 Protein
GENE0345,GENE0345,GENE0345 Associated Gene,15,Protein Synthesis,GENE0345 Protein
GENE0346,GENE0346,GENE0346 Associated Gene,16,Metabolism,GENE0346 Protein
GENE0347,GENE0347,GENE0347 Associated Gene,17,Signal Transduction,GENE0347 Protein
GENE0348,GENE0348,GENE0348 Associated Gene,18,Apoptosis,GENE0348 Protein
GENE0349,GENE0349,GENE0349 Associated Gene,19,Cell Cycle Control,GENE0349 Protein
GENE0350,GENE0350,GENE0350 Associated Gene,20,Gene Expression,GENE0350 Protein
GENE0351,GENE0351,GENE0351 Associated Gene,21,DNA Repair,GENE0351 Protein
GENE0352,GENE0352,GENE0352 Associated Gene,22,Cell Signaling,GENE0352 Protein
GENE0353,GENE0353,GENE0353 Associated Gene,1,Tumor Suppression,GENE0353 Protein
GENE0354,GENE0354,GENE0354 Associated Gene,2,Immune Regulation,GENE0354 Protein
GENE0355,GENE0355,GENE0355 Associated Gene,3,Protein Synthesis,GENE0355 Protein
GENE0356,GENE0356,GENE0356 Associated Gene,4,Metabolism,GENE0356 Protein
GENE0357,GENE0357,GENE0357 Associated Gene,5,Signal Transduction,GENE0357 Protein
GENE0358,GENE0358,GENE0358 Associated Gene,6,Apoptosis,GENE0358 Protein
GENE0359,GENE0359,GENE0359 Associated Gene,7,Cell Cycle Control,GENE0359 Protein
GENE0360,GENE0360,GENE0360 Associated Gene,8,Gene Expression,GENE0360 Protein
GENE0361,GENE0361,GENE0361 Associated Gene,9,DNA Repair,GENE0361 Protein
GENE0362,GENE0362,GENE0362 Associated Gene,10,Cell Signaling,GENE0362 Protein
GENE0363,GENE0363,GENE0363 Associated Gene,11,Tumor Suppression,GENE0363 Protein
GENE0364,GENE0364,GENE0364 Associated Gene,12,Immune Regulation,GENE0364 Protein
GENE0365,GENE0365,GENE0365 Associated Gene,13,Protein Synthesis,GENE0365 Protein
GENE0366,GENE0366,GENE0366 Associated Gene,14,Metabolism,GENE0366 Protein
GENE0367,GENE0367,GENE0367 Associated Gene,15,Signal Transduction,GENE0367 Protein
GENE0368,GENE0368,GENE0368 Associated Gene,16,Apoptosis,GENE0368 Protein
GENE0369,GENE0369,GENE0369 Associated Gene,17,Cell Cycle Control,GENE0369 Protein
GENE0370,GENE0370,GENE0370 Associated Gene,18,Gene Expression,GENE0370 Protein
GENE0371,GENE0371,GENE0371 Associated Gene,19,DNA Repair,GENE0371 Protein
GENE0372,GENE0372,GENE0372 Associated Gene,20,Cell Signaling,GENE0372 Protein
GENE0373,GENE0373,GENE0373 Associated Gene,21,Tumor Suppression,GENE0373 Protein
GENE0374,GENE0374,GENE0374 Associated Gene,22,Immune Regulation,GENE0374 Protein
GENE0375,GENE0375,GENE0375 Associated Gene,1,Protein Synthesis,GENE0375 Protein
GENE0376,GENE0376,GENE0376 Associated Gene,2,Metabolism,GENE0376 Protein
GENE0377,GENE0377,GENE0377 Associated Gene,3,Signal Transduction,GENE0377 Protein
GENE0378,GENE0378,GENE0378 Associated Gene,4,Apoptosis,GENE0378 Protein
GENE0379,GENE0379,GENE0379 Associated Gene,5,Cell Cycle Control,GENE0379 Protein
GENE0380,GENE0380,GENE0380 Associated Gene,6,Gene Expression,GENE0380 Protein
GENE0381,GENE0381,GENE0381 Associated Gene,7,DNA Repair,GENE0381 Protein
GENE0382,GENE0382,GENE0382 Associated Gene,8,Cell Signaling,GENE0382 Protein
GENE0383,GENE0383,GENE0383 Associated Gene,9,Tumor Suppression,GENE0383 Protein
GENE0384,GENE0384,GENE0384 Associated Gene,10,Immune Regulation,GENE0384 Protein
GENE0385,GENE0385,GENE0385 Associated Gene,11,Protein Synthesis,GENE0385 Protein
GENE0386,GENE0386,GENE0386 Associated Gene,12,Metabolism,GENE0386 Protein
GENE0387,GENE0387,GENE0387 Associated Gene,13,Signal Transduction,GENE0387 Protein
GENE0388,GENE0388,GENE0388 Associated Gene,14,Apoptosis,GENE0388 Protein
GENE0389,GENE0389,GENE0389 Associated Gene,15,Cell Cycle Control,GENE0389 Protein
GENE0390,GENE0390,GENE0390 Associated Gene,16,Gene Expression,GENE0390 Protein
GENE0391,GENE0391,GENE0391 Associated Gene,17,DNA Repair,GENE0391 Protein
GENE0392,GENE0392,GENE0392 Associated Gene,18,Cell Signaling,GENE0392 Protein
GENE0393,GENE0393,GENE0393 Associated Gene,19,Tumor Suppression,GENE0393 Protein
GENE0394,GENE0394,GENE0394 Associated Gene,20,Immune Regulation,GENE0394 Protein
GENE0395,GENE0395,GENE0395 Associated Gene,21,Protein Synthesis,GENE0395 Protein
GENE0396,GENE0396,GENE0396 Associated Gene,22,Metabolism,GENE0396 Protein
GENE0397,GENE0397,GENE0397 Associated Gene,1,Signal Transduction,GENE0397 Protein
GENE0398,GENE0398,GENE0398 Associated Gene,2,Apoptosis,GENE0398 Protein
GENE0399,GENE0399,GENE0399 Associated Gene,3,Cell Cycle Control,GENE0399 Protein
GENE0400,GENE0400,GENE0400 Associated Gene,4,Gene Expression,GENE0400 Protein
GENE0401,GENE0401,GENE0401 Associated Gene,5,DNA Repair,GENE0401 Protein
GENE0402,GENE0402,GENE0402 Associated Gene,6,Cell Signaling,GENE0402 Protein
GENE0403,GENE0403,GENE0403 Associated Gene,7,Tumor Suppression,GENE0403 Protein
GENE0404,GENE0404,GENE0404 Associated Gene,8,Immune Regulation,GENE0404 Protein
GENE0405,GENE0405,GENE0405 Associated Gene,9,Protein Synthesis,GENE0405 Protein
GENE0406,GENE0406,GENE0406 Associated Gene,10,Metabolism,GENE0406 Protein
GENE0407,GENE0407,GENE0407 Associated Gene,11,Signal Transduction,GENE0407 Protein
GENE0408,GENE0408,GENE0408 Associated Gene,12,Apoptosis,GENE0408 Protein
GENE0409,GENE0409,GENE0409 Associated Gene,13,Cell Cycle Control,GENE0409 Protein
GENE0410,GENE0410,GENE0410 Associated Gene,14,Gene Expression,GENE0410 Protein
GENE0411,GENE0411,GENE0411 Associated Gene,15,DNA Repair,GENE0411 Protein
GENE0412,GENE0412,GENE0412 Associated Gene,16,Cell Signaling,GENE0412 Protein
GENE0413,GENE0413,GENE0413 Associated Gene,17,Tumor Suppression,GENE0413 Protein
GENE0414,GENE0414,GENE0414 Associated Gene,18,Immune Regulation,GENE0414 Protein
GENE0415,GENE0415,GENE0415 Associated Gene,19,Protein Synthesis,GENE0415 Protein
GENE0416,GENE0416,GENE0416 Associated Gene,20,Metabolism,GENE0416 Protein
GENE0417,GENE0417,GENE0417 Associated Gene,21,Signal Transduction,GENE0417 Protein
GENE0418,GENE0418,GENE0418 Associated Gene,22,Apoptosis,GENE0418 Protein
GENE0419,GENE0419,GENE0419 Associated Gene,1,Cell Cycle Control,GENE0419 Protein
GENE0420,GENE0420,GENE0420 Associated Gene,2,Gene Expression,GENE0420 Protein
GENE0421,GENE0421,GENE0421 Associated Gene,3,DNA Repair,GENE0421 Protein
GENE0422,GENE0422,GENE0422 Associated Gene,4,Cell Signaling,GENE0422 Protein
GENE0423,GENE0423,GENE0423 Associated Gene,5,Tumor Suppression,GENE0423 Protein
GENE0424,GENE0424,GENE0424 Associated Gene,6,Immune Regulation,GENE0424 Protein
GENE0425,GENE0425,GENE0425 Associated Gene,7,Protein Synthesis,GENE0425 Protein
GENE0426,GENE0426,GENE0426 Associated Gene,8,Metabolism,GENE0426 Protein
GENE0427,GENE0427,GENE0427 Associated Gene,9,Signal Transduction,GENE0427 Protein
GENE0428,GENE0428,GENE0428 Associated Gene,10,Apoptosis,GENE0428 Protein
GENE0429,GENE0429,GENE0429 Associated Gene,11,Cell Cycle Control,GENE0429 Protein
GENE0430,GENE0430,GENE0430 Associated Gene,12,Gene Expression,GENE0430 Protein
GENE0431,GENE0431,GENE0431 Associated Gene,13,DNA Repair,GENE0431 Protein
GENE0432,GENE0432,GENE0432 Associated Gene,14,Cell Signaling,GENE0432 Protein
GENE0433,GENE0433,GENE0433 Associated Gene,15,Tumor Suppression,GENE0433 Protein
GENE0434,GENE0434,GENE0434 Associated Gene,16,Immune Regulation,GENE0434 Protein
GENE0435,GENE0435,GENE0435 Associated Gene,17,Protein Synthesis,GENE0435 Protein
GENE0436,GENE0436,GENE0436 Associated Gene,18,Metabolism,GENE0436 Protein
GENE0437,GENE0437,GENE0437 Associated Gene,19,Signal Transduction,GENE0437 Protein
GENE0438,GENE0438,GENE0438 Associated Gene,20,Apoptosis,GENE0438 Protein
GENE0439,GENE0439,GENE0439 Associated Gene,21,Cell Cycle Control,GENE0439 Protein
GENE0440,GENE0440,GENE0440 Associated Gene,22,Gene Expression,GENE0440 Protein
GENE0441,GENE0441,GENE0441 Associated Gene,1,DNA Repair,GENE0441 Protein
GENE0442,GENE0442,GENE0442 Associated Gene,2,Cell Signaling,GENE0442 Protein
GENE0443,GENE0443,GENE0443 Associated Gene,3,Tumor Suppression,GENE0443 Protein
GENE0444,GENE0444,GENE0444 Associated Gene,4,Immune Regulation,GENE0444 Protein
GENE0445,GENE0445,GENE0445 Associated Gene,5,Protein Synthesis,GENE0445 Protein
GENE0446,GENE0446,GENE0446 Associated Gene,6,Metabolism,GENE0446 Protein
GENE0447,GENE0447,GENE0447 Associated Gene,7,Signal Transduction,GENE0447 Protein
GENE0448,GENE0448,GENE0448 Associated Gene,8,Apoptosis,GENE0448 Protein
GENE0449,GENE0449,GENE0449 Associated Gene,9,Cell Cycle Control,GENE0449 Protein
GENE0450,GENE0450,GENE0450 Associated Gene,10,Gene Expression,GENE0450 Protein
GENE0451,GENE0451,GENE0451 Associated Gene,11,DNA Repair,GENE0451 Protein
GENE0452,GENE0452,GENE0452 Associated Gene,12,Cell Signaling,GENE0452 Protein
GENE0453,GENE0453,GENE0453 Associated Gene,13,Tumor Suppression,GENE0453 Protein
GENE0454,GENE0454,GENE0454 Associated Gene,14,Immune Regulation,GENE0454 Protein
GENE0455,GENE0455,GENE0455 Associated Gene,15,Protein Synthesis,GENE0455 Protein
GENE0456,GENE0456,GENE0456 Associated Gene,16,Metabolism,GENE0456 Protein
GENE0457,GENE0457,GENE0457 Associated Gene,17,Signal Transduction,GENE0457 Protein
GENE0458,GENE0458,GENE0458 Associated Gene,18,Apoptosis,GENE0458 Protein
GENE0459,GENE0459,GENE0459 Associated Gene,19,Cell Cycle Control,GENE0459 Protein
GENE0460,GENE0460,GENE0460 Associated Gene,20,Gene Expression,GENE0460 Protein
GENE0461,GENE0461,GENE0461 Associated Gene,21,DNA Repair,GENE0461 Protein
GENE0462,GENE0462,GENE0462 Associated Gene,22,Cell Signaling,GENE0462 Protein
GENE0463,GENE0463,GENE0463 Associated Gene,1,Tumor Suppression,GENE0463 Protein
GENE0464,GENE0464,GENE0464 Associated Gene,2,Immune Regulation,GENE0464 Protein
GENE0465,GENE0465,GENE0465 Associated Gene,3,Protein Synthesis,GENE0465 Protein
GENE0466,GENE0466,GENE0466 Associated Gene,4,Metabolism,GENE0466 Protein
GENE0467,GENE0467,GENE0467 Associated Gene,5,Signal Transduction,GENE0467 Protein
GENE0468,GENE0468,GENE0468 Associated Gene,6,Apoptosis,GENE0468 Protein
GENE0469,GENE0469,GENE0469 Associated Gene,7,Cell Cycle Control,GENE0469 Protein
GENE0470,GENE0470,GENE0470 Associated Gene,8,Gene Expression,GENE0470 Protein
GENE0471,GENE0471,GENE0471 Associated Gene,9,DNA Repair,GENE0471 Protein
GENE0472,GENE0472,GENE0472 Associated Gene,10,Cell Signaling,GENE0472 Protein
GENE0473,GENE0473,GENE0473 Associated Gene,11,Tumor Suppression,GENE0473 Protein
GENE0474,GENE0474,GENE0474 Associated Gene,12,Immune Regulation,GENE0474 Protein
GENE0475,GENE0475,GENE0475 Associated Gene,13,Protein Synthesis,GENE0475 Protein
GENE0476,GENE0476,GENE0476 Associated Gene,14,Metabolism,GENE0476 Protein
GENE0477,GENE0477,GENE0477 Associated Gene,15,Signal Transduction,GENE0477 Protein
GENE0478,GENE0478,GENE0478 Associated Gene,16,Apoptosis,GENE0478 Protein
GENE0479,GENE0479,GENE0479 Associated Gene,17,Cell Cycle Control,GENE0479 Protein
GENE0480,GENE0480,GENE0480 Associated Gene,18,Gene Expression,GENE0480 Protein
GENE0481,GENE0481,GENE0481 Associated Gene,19,DNA Repair,GENE0481 Protein
GENE0482,GENE0482,GENE0482 Associated Gene,20,Cell Signaling,GENE0482 Protein
GENE0483,GENE0483,GENE0483 Associated Gene,21,Tumor Suppression,GENE0483 Protein
GENE0484,GENE0484,GENE0484 Associated Gene,22,Immune Regulation,GENE0484 Protein
GENE0485,GENE0485,GENE0485 Associated Gene,1,Protein Synthesis,GENE0485 Protein
GENE0486,GENE0486,GENE0486 Associated Gene,2,Metabolism,GENE0486 Protein
GENE0487,GENE0487,GENE0487 Associated Gene,3,Signal Transduction,GENE0487 Protein
GENE0488,GENE0488,GENE0488 Associated Gene,4,Apoptosis,GENE0488 Protein
GENE0489,GENE0489,GENE0489 Associated Gene,5,Cell Cycle Control,GENE0489 Protein
GENE0490,GENE0490,GENE0490 Associated Gene,6,Gene Expression,GENE0490 Protein
GENE0491,GENE0491,GENE0491 Associated Gene,7,DNA Repair,GENE0491 Protein
GENE0492,GENE0492,GENE0492 Associated Gene,8,Cell Signaling,GENE0492 Protein
GENE0493,GENE0493,GENE0493 Associated Gene,9,Tumor Suppression,GENE0493 Protein
GENE0494,GENE0494,GENE0494 Associated Gene,10,Immune Regulation,GENE0494 Protein
GENE0495,GENE0495,GENE0495 Associated Gene,11,Protein Synthesis,GENE0495 Protein
GENE0496,GENE0496,GENE0496 Associated Gene,12,Metabolism,GENE0496 Protein
GENE0497,GENE0497,GENE0497 Associated Gene,13,Signal Transduction,GENE0497 Protein
GENE0498,GENE0498,GENE0498 Associated Gene,14,Apoptosis,GENE0498 Protein
GENE0499,GENE0499,GENE0499 Associated Gene,15,Cell Cycle Control,GENE0499 Protein
GENE0500,GENE0500,GENE0500 Associated Gene,16,Gene Expression,GENE0500 Protein
GENE0501,GENE0501,GENE0501 Associated Gene,17,DNA Repair,GENE0501 Protein
GENE0502,GENE0502,GENE0502 Associated Gene,18,Cell Signaling,GENE0502 Protein
GENE0503,GENE0503,GENE0503 Associated Gene,19,Tumor Suppression,GENE0503 Protein
GENE0504,GENE0504,GENE0504 Associated Gene,20,Immune Regulation,GENE0504 Protein
GENE0505,GENE0505,GENE0505 Associated Gene,21,Protein Synthesis,GENE0505 Protein
GENE0506,GENE0506,GENE0506 Associated Gene,22,Metabolism,GENE0506 Protein
GENE0507,GENE0507,GENE0507 Associated Gene,1,Signal Transduction,GENE0507 Protein
GENE0508,GENE0508,GENE0508 Associated Gene,2,Apoptosis,GENE0508 Protein
GENE0509,GENE0509,GENE0509 Associated Gene,3,Cell Cycle Control,GENE0509 Protein
GENE0510,GENE0510,GENE0510 Associated Gene,4,Gene Expression,GENE0510 Protein
GENE0511,GENE0511,GENE0511 Associated Gene,5,DNA Repair,GENE0511 Protein
GENE0512,GENE0512,GENE0512 Associated Gene,6,Cell Signaling,GENE0512 Protein
GENE0513,GENE0513,GENE0513 Associated Gene,7,Tumor Suppression,GENE0513 Protein
GENE0514,GENE0514,GENE0514 Associated Gene,8,Immune Regulation,GENE0514 Protein
GENE0515,GENE0515,GENE0515 Associated Gene,9,Protein Synthesis,GENE0515 Protein
GENE0516,GENE0516,GENE0516 Associated Gene,10,Metabolism,GENE0516 Protein
GENE0517,GENE0517,GENE0517 Associated Gene,11,Signal Transduction,GENE0517 Protein
GENE0518,GENE0518,GENE0518 Associated Gene,12,Apoptosis,GENE0518 Protein
GENE0519,GENE0519,GENE0519 Associated Gene,13,Cell Cycle Control,GENE0519 Protein
GENE0520,GENE0520,GENE0520 Associated Gene,14,Gene Expression,GENE0520 Protein
GENE0521,GENE0521,GENE0521 Associated Gene,15,DNA Repair,GENE0521 Protein
GENE0522,GENE0522,GENE0522 Associated Gene,16,Cell Signaling,GENE0522 Protein
GENE0523,GENE0523,GENE0523 Associated Gene,17,Tumor Suppression,GENE0523 Protein
GENE0524,GENE0524,GENE0524 Associated Gene,18,Immune Regulation,GENE0524 Protein
GENE0525,GENE0525,GENE0525 Associated Gene,19,Protein Synthesis,GENE0525 Protein
GENE0526,GENE0526,GENE0526 Associated Gene,20,Metabolism,GENE0526 Protein
GENE0527,GENE0527,GENE0527 Associated Gene,21,Signal Transduction,GENE0527 Protein
GENE0528,GENE0528,GENE0528 Associated Gene,22,Apoptosis,GENE0528 Protein
GENE0529,GENE0529,GENE0529 Associated Gene,1,Cell Cycle Control,GENE0529 Protein
GENE0530,GENE0530,GENE0530 Associated Gene,2,Gene Expression,GENE0530 Protein
GENE0531,GENE0531,GENE0531 Associated Gene,3,DNA Repair,GENE0531 Protein
GENE0532,GENE0532,GENE0532 Associated Gene,4,Cell Signaling,GENE0532 Protein
GENE0533,GENE0533,GENE0533 Associated Gene,5,Tumor Suppression,GENE0533 Protein
GENE0534,GENE0534,GENE0534 Associated Gene,6,Immune Regulation,GENE0534 Protein
GENE0535,GENE0535,GENE0535 Associated Gene,7,Protein Synthesis,GENE0535 Protein
GENE0536,GENE0536,GENE0536 Associated Gene,8,Metabolism,GENE0536 Protein
GENE0537,GENE0537,GENE0537 Associated Gene,9,Signal Transduction,GENE0537 Protein
GENE0538,GENE0538,GENE0538 Associated Gene,10,Apoptosis,GENE0538 Protein
GENE0539,GENE0539,GENE0539 Associated Gene,11,Cell Cycle Control,GENE0539 Protein
GENE0540,GENE0540,GENE0540 Associated Gene,12,Gene Expression,GENE0540 Protein
GENE0541,GENE0541,GENE0541 Associated Gene,13,DNA Repair,GENE0541 Protein
GENE0542,GENE0542,GENE0542 Associated Gene,14,Cell Signaling,GENE0542 Protein
GENE0543,GENE0543,GENE0543 Associated Gene,15,Tumor Suppression,GENE0543 Protein
GENE0544,GENE0544,GENE0544 Associated Gene,16,Immune Regulation,GENE0544 Protein
GENE0545,GENE0545,GENE0545 Associated Gene,17,Protein Synthesis,GENE0545 Protein
GENE0546,GENE0546,GENE0546 Associated Gene,18,Metabolism,GENE0546 Protein
GENE0547,GENE0547,GENE0547 Associated Gene,19,Signal Transduction,GENE0547 Protein
GENE0548,GENE0548,GENE0548 Associated Gene,20,Apoptosis,GENE0548 Protein
GENE0549,GENE0549,GENE0549 Associated Gene,21,Cell Cycle Control,GENE0549 Protein
GENE0550,GENE0550,GENE0550 Associated Gene,22,Gene Expression,GENE0550 Protein
GENE0551,GENE0551,GENE0551 Associated Gene,1,DNA Repair,GENE0551 Protein
GENE0552,GENE0552,GENE0552 Associated Gene,2,Cell Signaling,GENE0552 Protein
GENE0553,GENE0553,GENE0553 Associated Gene,3,Tumor Suppression,GENE0553 Protein
GENE0554,GENE0554,GENE0554 Associated Gene,4,Immune Regulation,GENE0554 Protein
GENE0555,GENE0555,GENE0555 Associated Gene,5,Protein Synthesis,GENE0555 Protein
GENE0556,GENE0556,GENE0556 Associated Gene,6,Metabolism,GENE0556 Protein
GENE0557,GENE0557,GENE0557 Associated Gene,7,Signal Transduction,GENE0557 Protein
GENE0558,GENE0558,GENE0558 Associated Gene,8,Apoptosis,GENE0558 Protein
GENE0559,GENE0559,GENE0559 Associated Gene,9,Cell Cycle Control,GENE0559 Protein
GENE0560,GENE0560,GENE0560 Associated Gene,10,Gene Expression,GENE0560 Protein
GENE0561,GENE0561,GENE0561 Associated Gene,11,DNA Repair,GENE0561 Protein
GENE0562,GENE0562,GENE0562 Associated Gene,12,Cell Signaling,GENE0562 Protein
GENE0563,GENE0563,GENE0563 Associated Gene,13,Tumor Suppression,GENE0563 Protein
GENE0564,GENE0564,GENE0564 Associated Gene,14,Immune Regulation,GENE0564 Protein
GENE0565,GENE0565,GENE0565 Associated Gene,15,Protein Synthesis,GENE0565 Protein
GENE0566,GENE0566,GENE0566 Associated Gene,16,Metabolism,GENE0566 Protein
GENE0567,GENE0567,GENE0567 Associated Gene,17,Signal Transduction,GENE0567 Protein
GENE0568,GENE0568,GENE0568 Associated Gene,18,Apoptosis,GENE0568 Protein
GENE0569,GENE0569,GENE0569 Associated Gene,19,Cell Cycle Control,GENE0569 Protein
GENE0570,GENE0570,GENE0570 Associated Gene,20,Gene Expression,GENE0570 Protein
GENE0571,GENE0571,GENE0571 Associated Gene,21,DNA Repair,GENE0571 Protein
GENE0572,GENE0572,GENE0572 Associated Gene,22,Cell Signaling,GENE0572 Protein
GENE0573,GENE0573,GENE0573 Associated Gene,1,Tumor Suppression,GENE0573 Protein
GENE0574,GENE0574,GENE0574 Associated Gene,2,Immune Regulation,GENE0574 Protein
GENE0575,GENE0575,GENE0575 Associated Gene,3,Protein Synthesis,GENE0575 Protein
GENE0576,GENE0576,GENE0576 Associated Gene,4,Metabolism,GENE0576 Protein
GENE0577,GENE0577,GENE0577 Associated Gene,5,Signal Transduction,GENE0577 Protein
GENE0578,GENE0578,GENE0578 Associated Gene,6,Apoptosis,GENE0578 Protein
GENE0579,GENE0579,GENE0579 Associated Gene,7,Cell Cycle Control,GENE0579 Protein
GENE0580,GENE0580,GENE0580 Associated Gene,8,Gene Expression,GENE0580 Protein
GENE0581,GENE0581,GENE0581 Associated Gene,9,DNA Repair,GENE0581 Protein
GENE0582,GENE0582,GENE0582 Associated Gene,10,Cell Signaling,GENE0582 Protein
GENE0583,GENE0583,GENE0583 Associated Gene,11,Tumor Suppression,GENE0583 Protein
GENE0584,GENE0584,GENE0584 Associated Gene,12,Immune Regulation,GENE0584 Protein
GENE0585,GENE0585,GENE0585 Associated Gene,13,Protein Synthesis,GENE0585 Protein
GENE0586,GENE0586,GENE0586 Associated Gene,14,Metabolism,GENE0586 Protein
GENE0587,GENE0587,GENE0587 Associated Gene,15,Signal Transduction,GENE0587 Protein
GENE0588,GENE0588,GENE0588 Associated Gene,16,Apoptosis,GENE0588 Protein
GENE0589,GENE0589,GENE0589 Associated Gene,17,Cell Cycle Control,GENE0589 Protein
GENE0590,GENE0590,GENE0590 Associated Gene,18,Gene Expression,GENE0590 Protein
GENE0591,GENE0591,GENE0591 Associated Gene,19,DNA Repair,GENE0591 Protein
GENE0592,GENE0592,GENE0592 Associated Gene,20,Cell Signaling,GENE0592 Protein
GENE0593,GENE0593,GENE0593 Associated Gene,21,Tumor Suppression,GENE0593 Protein
GENE0594,GENE0594,GENE0594 Associated Gene,22,Immune Regulation,GENE0594 Protein
GENE0595,GENE0595,GENE0595 Associated Gene,1,Protein Synthesis,GENE0595 Protein
GENE0596,GENE0596,GENE0596 Associated Gene,2,Metabolism,GENE0596 Protein
GENE0597,GENE0597,GENE0597 Associated Gene,3,Signal Transduction,GENE0597 Protein
GENE0598,GENE0598,GENE0598 Associated Gene,4,Apoptosis,GENE0598 Protein
GENE0599,GENE0599,GENE0599 Associated Gene,5,Cell Cycle Control,GENE0599 Protein
GENE0600,GENE0600,GENE0600 Associated Gene,6,Gene Expression,GENE0600 Protein
GENE0601,GENE0601,GENE0601 Associated Gene,7,DNA Repair,GENE0601 Protein
GENE0602,GENE0602,GENE0602 Associated Gene,8,Cell Signaling,GENE0602 Protein
GENE0603,GENE0603,GENE0603 Associated Gene,9,Tumor Suppression,GENE0603 Protein
GENE0604,GENE0604,GENE0604 Associated Gene,10,Immune Regulation,GENE0604 Protein
GENE0605,GENE0605,GENE0605 Associated Gene,11,Protein Synthesis,GENE0605 Protein
GENE0606,GENE0606,GENE0606 Associated Gene,12,Metabolism,GENE0606 Protein
GENE0607,GENE0607,GENE0607 Associated Gene,13,Signal Transduction,GENE0607 Protein
GENE0608,GENE0608,GENE0608 Associated Gene,14,Apoptosis,GENE0608 Protein
GENE0609,GENE0609,GENE0609 Associated Gene,15,Cell Cycle Control,GENE0609 Protein
GENE0610,GENE0610,GENE0610 Associated Gene,16,Gene Expression,GENE0610 Protein
GENE0611,GENE0611,GENE0611 Associated Gene,17,DNA Repair,GENE0611 Protein
GENE0612,GENE0612,GENE0612 Associated Gene,18,Cell Signaling,GENE0612 Protein
GENE0613,GENE0613,GENE0613 Associated Gene,19,Tumor Suppression,GENE0613 Protein
GENE0614,GENE0614,GENE0614 Associated Gene,20,Immune Regulation,GENE0614 Protein
GENE0615,GENE0615,GENE0615 Associated Gene,21,Protein Synthesis,GENE0615 Protein
GENE0616,GENE0616,GENE0616 Associated Gene,22,Metabolism,GENE0616 Protein
GENE0617,GENE0617,GENE0617 Associated Gene,1,Signal Transduction,GENE0617 Protein
GENE0618,GENE0618,GENE0618 Associated Gene,2,Apoptosis,GENE0618 Protein
GENE0619,GENE0619,GENE0619 Associated Gene,3,Cell Cycle Control,GENE0619 Protein
GENE0620,GENE0620,GENE0620 Associated Gene,4,Gene Expression,GENE0620 Protein
GENE0621,GENE0621,GENE0621 Associated Gene,5,DNA Repair,GENE0621 Protein
GENE0622,GENE0622,GENE0622 Associated Gene,6,Cell Signaling,GENE0622 Protein
GENE0623,GENE0623,GENE0623 Associated Gene,7,Tumor Suppression,GENE0623 Protein
